subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
3,Left,LMC,Tone,Noise,70,2,0,0.701181600001291,1
3,Left,LMC,Tone,Noise,71,3,1,0.994218699999692,4
3,Left,LMC,Tone,Noise,72,4,1,0.903899400000228,5
3,Left,LMC,Tone,Noise,73,3,0,0.85538009999982,3
3,Left,LMC,Tone,Noise,74,1,0,0.713696099999652,2
3,Left,LMC,Tone,Noise,75,5,1,0.782537000000957,5
3,Left,LMC,Tone,Noise,76,5,1,0.914327600001343,1
3,Left,LMC,Tone,Noise,77,2,0,0.695593200000076,2
3,Left,LMC,Tone,Noise,78,2,0,0.682058100001086,2
3,Left,LMC,Cons,Noise,1,2,0,0.851697000000058,2
3,Left,LMC,Cons,Noise,2,3,0,0.919722599999659,2
3,Left,LMC,Cons,Noise,3,5,0,0.85761150000144,3
3,Left,LMC,Cons,Noise,4,3,0,0.879425099999935,3
3,Left,LMC,Cons,Noise,5,5,0,1.1254495000012,4
3,Left,LMC,Cons,Noise,6,4,0,0.734262500000114,5
3,Left,LMC,Cons,Noise,7,3,0,0.641583399999945,1
3,Left,LMC,Cons,Noise,8,2,0,0.759815899999012,4
3,Left,LMC,Cons,Noise,9,1,0,0.708786799999871,4
3,Left,LMC,Cons,Noise,10,3,1,1.02247929999976,3
3,Left,LMC,Cons,Noise,11,1,0,0.827272200000152,2
3,Left,LMC,Cons,Noise,12,4,1,0.787704200000007,4
3,Left,LMC,Cons,Noise,13,3,0,0.879431900000782,1
3,Left,LMC,Cons,Noise,14,2,0,0.65826609999931,3
3,Left,LMC,Cons,Noise,15,5,0,1.05271859999993,2
3,Left,LMC,Cons,Noise,16,4,0,0.726130200000625,3
3,Left,LMC,Cons,Noise,17,4,0,0.605471599999873,2
3,Left,LMC,Cons,Noise,18,5,0,0.654130200000509,3
3,Left,LMC,Cons,Noise,19,2,0,0.799315800000841,2
3,Left,LMC,Cons,Noise,20,3,0,0.812050599999566,4
3,Left,LMC,Cons,Noise,21,2,0,0.757179300000644,1
3,Left,LMC,Cons,Noise,22,3,0,1.07874799999991,3
3,Left,LMC,Cons,Noise,23,1,0,0.657989899998938,3
3,Left,LMC,Cons,Noise,24,3,0,0.70833329999914,5
3,Left,LMC,Cons,Noise,25,2,0,0.608157599999686,5
3,Left,LMC,Cons,Noise,26,1,0,0.568585500001063,1
3,Left,LMC,Cons,Noise,27,4,0,0.687098700000206,4
3,Left,LMC,Cons,Noise,28,1,0,0.626761299999998,3
3,Left,LMC,Cons,Noise,29,4,0,0.653611300000193,1
3,Left,LMC,Cons,Noise,30,5,0,1.04709270000058,1
3,Left,LMC,Cons,Noise,31,4,0,0.975491999999576,2
3,Left,LMC,Cons,Noise,32,2,0,0.769254400000136,3
3,Left,LMC,Cons,Noise,33,5,1,0.892228200000318,5
3,Left,LMC,Cons,Noise,34,3,0,0.920946999998705,2
3,Left,LMC,Cons,Noise,35,2,1,0.67662989999917,4
3,Left,LMC,Cons,Noise,36,3,0,0.746567799998957,4
3,Left,LMC,Cons,Noise,37,4,0,0.974196600000141,3
3,Left,LMC,Cons,Noise,38,1,0,0.721311999999671,5
